fen,evaluation
r2qrbk1/1b1n1p2/pn1p2pp/BppP4/4P3/1P3NNP/P1B2PP1/R2QR1K1 b - - 0 20,70
r2qr1k1/1b1n1pb1/pn1p2pp/BppP4/4P3/1P3NNP/P1B2PP1/R2QR1K1 w - - 1 21,67
r2qr1k1/1b1n1pb1/pn1p2pp/BppP4/4P3/1P3NNP/P1B2PP1/2RQR1K1 b - - 2 21,63
r3r1k1/1b1n1pb1/pn1p1qpp/BppP4/4P3/1P3NNP/P1B2PP1/2RQR1K1 w - - 3 22,90
r3r1k1/1b1n1pb1/pn1p1qpp/BppP4/4P3/1P3NNP/P1B2PP1/1R1QR1K1 b - - 4 22,98
r3r1k1/1b1n1pb1/pn1p1qpp/B1pP4/1p2P3/1P3NNP/P1B2PP1/1R1QR1K1 w - - 0 23,124
r3r1k1/1b1n1pb1/pn1p1qpp/B1pP4/1p2P3/1P3N1P/P1B1NPP1/1R1QR1K1 b - - 1 23,107
r3r1k1/1b1nqpb1/pn1p2pp/B1pP4/1p2P3/1P3N1P/P1B1NPP1/1R1QR1K1 w - - 2 24,104
r3r1k1/1b1nqpb1/pn1p2pp/B1pP4/1p2P3/PP3N1P/2B1NPP1/1R1QR1K1 b - - 0 24,27
r3r1k1/1b1nqpb1/pn1p2pp/B1pP4/4P3/pP3N1P/2B1NPP1/1R1QR1K1 w - - 0 25,46
r3r1k1/1b1nqpb1/pn1p2pp/2pP4/4P3/pPB2N1P/2B1NPP1/1R1QR1K1 b - - 1 25,-10
r3r1k1/1b1nq1b1/pn1p2pp/2pP1p2/4P3/pPB2N1P/2B1NPP1/1R1QR1K1 w - - 0 26,-45
r3r1k1/1b1nq1B1/pn1p2pp/2pP1p2/4P3/pP3N1P/2B1NPP1/1R1QR1K1 b - - 0 26,-47
r3r1k1/1b1n2q1/pn1p2pp/2pP1p2/4P3/pP3N1P/2B1NPP1/1R1QR1K1 w - - 0 27,-42
r3r1k1/1b1n2q1/pn1p2pp/2pP1p2/4PN2/pP3N1P/2B2PP1/1R1QR1K1 b - - 1 27,-148
r3r1k1/1b1n2q1/pn1p2pp/2pP4/4pN2/pP3N1P/2B2PP1/1R1QR1K1 w - - 0 28,-151
r3r1k1/1b1n2q1/pn1p2pp/2pP4/4pN1N/pP5P/2B2PP1/1R1QR1K1 b - - 1 28,-139
r3r1k1/1b1n2q1/pn1p3p/2pP2p1/4pN1N/pP5P/2B2PP1/1R1QR1K1 w - - 0 29,-223
r3r1k1/1b1n2q1/pn1pN2p/2pP2p1/4p2N/pP5P/2B2PP1/1R1QR1K1 b - - 1 29,-231
r3r1k1/1b1n4/pn1pNq1p/2pP2p1/4p2N/pP5P/2B2PP1/1R1QR1K1 w - - 2 30,-203
r3r1k1/1b1n4/pn1pNq1p/2pP2p1/4p1QN/pP5P/2B2PP1/1R2R1K1 b - - 3 30,-329
r3r1k1/1b1n4/p2pNq1p/2pn2p1/4p1QN/pP5P/2B2PP1/1R2R1K1 w - - 0 31,-331
r3r1k1/1b1n4/p2p1q1p/2pn2N1/4p1QN/pP5P/2B2PP1/1R2R1K1 b - - 0 31,-321
r3r1k1/1b1n4/p2p1q2/2pn2p1/4p1QN/pP5P/2B2PP1/1R2R1K1 w - - 0 32,-319
r3r1k1/1b1Q4/p2p1q2/2pn2p1/4p2N/pP5P/2B2PP1/1R2R1K1 b - - 0 32,-339
r3r1k1/1b1Q4/p2p1q2/2p3p1/1n2p2N/pP5P/2B2PP1/1R2R1K1 w - - 1 33,-289
r3r1k1/1Q6/p2p1q2/2p3p1/1n2p2N/pP5P/2B2PP1/1R2R1K1 b - - 0 33,-334
r3r1k1/1Q6/p2p1q2/2p3p1/4p2N/pP5P/2n2PP1/1R2R1K1 w - - 0 34,-332
r3r1k1/1Q6/p2p1q2/2p3p1/4R2N/pP5P/2n2PP1/1R4K1 b - - 0 34,-305
r3r1k1/1Q6/p2p1q2/2p3p1/4R2N/1P5P/p1n2PP1/1R4K1 w - - 0 35,-282
r3r1k1/1Q6/p2p1q2/2p3p1/4R2N/1P5P/p1n2PP1/5RK1 b - - 1 35,-296
r3r1k1/1Q6/p2p1q2/2p3p1/1n2R2N/1P5P/p4PP1/5RK1 w - - 2 36,-286
r3r1k1/1Q6/p2p1q2/2p3p1/1n4RN/1P5P/p4PP1/5RK1 b - - 3 36,-263
r3r1k1/1Q6/p2p1q2/2p3p1/1n4RN/1P5P/5PP1/q4RK1 w - - 0 37,-280
r3r1k1/1Q6/p2p1q2/2p3p1/1n4RN/1P5P/5PP1/R5K1 b - - 0 37,-246
r3r1k1/1Q6/p2p4/2p3p1/1n4RN/1P5P/5PP1/q5K1 w - - 0 38,-244
r3r1k1/1Q6/p2p4/2p3p1/1n4RN/1P5P/5PPK/q7 b - - 1 38,-286
r3r1k1/1Q4q1/p2p4/2p3p1/1n4RN/1P5P/5PPK/8 w - - 2 39,-286
r3r1k1/6q1/p2p4/2p3p1/1n4RN/1P3Q1P/5PPK/8 b - - 3 39,-264
r3r1k1/8/p2p4/2p1q1p1/1n4RN/1P3Q1P/5PPK/8 w - - 4 40,-288
r3r1k1/8/p2p4/2p1q1p1/1n4RN/1P3QPP/5P1K/8 b - - 0 40,-249
r4rk1/8/p2p4/2p1q1p1/1n4RN/1P3QPP/5P1K/8 w - - 1 41,-259
r4rk1/8/p2p4/2p1q1p1/1n4RN/1P4PP/5PQK/8 b - - 2 41,-279
r4rk1/8/p2p1q2/2p3p1/1n4RN/1P4PP/5PQK/8 w - - 3 42,-243
r4rk1/8/p2p1q2/2p3p1/1n3PRN/1P4PP/6QK/8 b - - 0 42,-291
5rk1/r7/p2p1q2/2p3p1/1n3PRN/1P4PP/6QK/8 w - - 1 43,-284
5rk1/r7/p2p1q2/2p3R1/1n3P1N/1P4PP/6QK/8 b - - 0 43,-284
5rk1/6r1/p2p1q2/2p3R1/1n3P1N/1P4PP/6QK/8 w - - 1 44,-296
5rk1/6r1/p2p1q2/2p4R/1n3P1N/1P4PP/6QK/8 b - - 2 44,-295
5rk1/6r1/p2pq3/2p4R/1n3P1N/1P4PP/6QK/8 w - - 3 45,-298
5rk1/6r1/p2pq3/2p4R/1n3PPN/1P5P/6QK/8 b - - 0 45,-361
6k1/6r1/p2pq3/2p4R/1n3rPN/1P5P/6QK/8 w - - 0 46,-355
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,32
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,32
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,36
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,33
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,34
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,26
r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4,28
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5,28
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 3 5,28
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6,38
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq - 5 6,35
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7,36
r1bqk2r/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 b kq - 1 7,38
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w kq - 0 8,38
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 b kq - 0 8,37
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 w - - 1 9,38
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BPP1N2/PP3PPP/RNBQR1K1 b - - 0 9,18
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/1BPP1N2/PP3PPP/RNBQR1K1 w - - 1 10,15
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/2PP1N2/PPB2PPP/RNBQR1K1 b - - 2 10,10
r1bq1rk1/4bppp/p2p1n2/npp1p3/4P3/2PP1N2/PPB2PPP/RNBQR1K1 w - - 0 11,30
r1bq1rk1/4bppp/p2p1n2/npp1p3/4P3/2PP1N2/PPBN1PPP/R1BQR1K1 b - - 1 11,8
r1bqr1k1/4bppp/p2p1n2/npp1p3/4P3/2PP1N2/PPBN1PPP/R1BQR1K1 w - - 2 12,9
r1bqr1k1/4bppp/p2p1n2/npp1p3/4P3/2PP1N1P/PPBN1PP1/R1BQR1K1 b - - 0 12,8
r1bqrbk1/5ppp/p2p1n2/npp1p3/4P3/2PP1N1P/PPBN1PP1/R1BQR1K1 w - - 1 13,8
r1bqrbk1/5ppp/p2p1n2/npp1p3/4P3/2PP1N1P/PPB2PP1/R1BQRNK1 b - - 2 13,4
r2qrbk1/1b3ppp/p2p1n2/npp1p3/4P3/2PP1N1P/PPB2PP1/R1BQRNK1 w - - 3 14,50
r2qrbk1/1b3ppp/p2p1n2/npp1p3/4P3/2PP1NNP/PPB2PP1/R1BQR1K1 b - - 4 14,-3
r2qrbk1/1b3p1p/p2p1np1/npp1p3/4P3/2PP1NNP/PPB2PP1/R1BQR1K1 w - - 0 15,28
r2qrbk1/1b3p1p/p2p1np1/npp1p1B1/4P3/2PP1NNP/PPB2PP1/R2QR1K1 b - - 1 15,17
r2qrbk1/1b3p2/p2p1npp/npp1p1B1/4P3/2PP1NNP/PPB2PP1/R2QR1K1 w - - 0 16,17
r2qrbk1/1b3p2/p2p1npp/npp1p3/4P3/2PP1NNP/PPBB1PP1/R2QR1K1 b - - 1 16,15
r2qrbk1/1b3p2/p4npp/npppp3/4P3/2PP1NNP/PPBB1PP1/R2QR1K1 w - - 0 17,17
r2qrbk1/1b3p2/p4npp/nppPp3/8/2PP1NNP/PPBB1PP1/R2QR1K1 b - - 0 17,20
r2qrbk1/1b3p2/p4npp/np1Pp3/2p5/2PP1NNP/PPBB1PP1/R2QR1K1 w - - 0 18,17
r2qrbk1/1b3p2/p4npp/np1Pp3/1Pp5/2PP1NNP/P1BB1PP1/R2QR1K1 b - b3 0 18,13
r2qrbk1/1b3p2/p4npp/np1Pp3/1P6/2Pp1NNP/P1BB1PP1/R2QR1K1 w - - 0 19,13
r2qrbk1/1b3p2/p4npp/np1Pp3/1P6/2PB1NNP/P2B1PP1/R2QR1K1 b - - 0 19,9
r3rbk1/1b3p2/p4npp/np1qp3/1P6/2PB1NNP/P2B1PP1/R2QR1K1 w - - 0 20,104
r3rbk1/1b3p2/p4npp/np1qp3/1P2B3/2P2NNP/P2B1PP1/R2QR1K1 b - - 1 20,179
r3rbk1/1b3p2/p5pp/np1qp3/1P2n3/2P2NNP/P2B1PP1/R2QR1K1 w - - 0 21,153
r3rbk1/1b3p2/p5pp/np1qp3/1P2N3/2P2N1P/P2B1PP1/R2QR1K1 b - - 0 21,178
r3r1k1/1b3pb1/p5pp/np1qp3/1P2N3/2P2N1P/P2B1PP1/R2QR1K1 w - - 1 22,138
r3r1k1/1b3pb1/p5pp/Pp1qp3/4N3/2P2N1P/P2B1PP1/R2QR1K1 b - - 0 22,131
r3r1k1/1b4b1/p5pp/Pp1qpp2/4N3/2P2N1P/P2B1PP1/R2QR1K1 w - - 0 23,169
r3r1k1/1b4b1/p5pp/Pp1qpp2/8/2P2NNP/P2B1PP1/R2QR1K1 b - - 1 23,18
r3r1k1/1b4b1/p5pp/Pp1q1p2/4p3/2P2NNP/P2B1PP1/R2QR1K1 w - - 0 24,41
r3r1k1/1b4b1/p5pp/Pp1q1p2/4p2N/2P3NP/P2B1PP1/R2QR1K1 b - - 1 24,68
r3r1k1/1b6/p4bpp/Pp1q1p2/4p2N/2P3NP/P2B1PP1/R2QR1K1 w - - 2 25,151
r3r1k1/1b6/p4bNp/Pp1q1p2/4p3/2P3NP/P2B1PP1/R2QR1K1 b - - 0 25,141
r3r1k1/1b6/p4bNp/Pp1q1p2/8/2P1p1NP/P2B1PP1/R2QR1K1 w - - 0 26,126
r3r1k1/1b6/p4b1p/Pp1q1p2/5N2/2P1p1NP/P2B1PP1/R2QR1K1 b - - 1 26,123
r3r1k1/1b6/p4b1p/Pp3p2/5N2/2P1p1NP/P2q1PP1/R2QR1K1 w - - 0 27,170
r3r1k1/1b6/p4b1p/Pp3p2/5N2/2P1R1NP/P2q1PP1/R2Q2K1 b - - 0 27,174
r3r1k1/1b6/p4b1p/Pp3p2/5N2/2P1R1NP/P4PP1/R2q2K1 w - - 0 28,147
r3r1k1/1b6/p4b1p/Pp3p2/5N2/2P1R1NP/P4PP1/3R2K1 b - - 0 28,179
r5k1/1b6/p4b1p/Pp3p2/5N2/2P1r1NP/P4PP1/3R2K1 w - - 0 29,175
r5k1/1b6/p4b1p/Pp3p2/5N2/2P1P1NP/P5P1/3R2K1 b - - 0 29,185
3r2k1/1b6/p4b1p/Pp3p2/5N2/2P1P1NP/P5P1/3R2K1 w - - 1 30,192
3R2k1/1b6/p4b1p/Pp3p2/5N2/2P1P1NP/P5P1/6K1 b - - 0 30,207
3b2k1/1b6/p6p/Pp3p2/5N2/2P1P1NP/P5P1/6K1 w - - 0 31,208
3b2k1/1b6/p6p/Pp3N2/5N2/2P1P2P/P5P1/6K1 b - - 0 31,227
6k1/1b6/p6p/bp3N2/5N2/2P1P2P/P5P1/6K1 w - - 0 32,234
6k1/1b6/p6p/bp1N1N2/8/2P1P2P/P5P1/6K1 b - - 1 32,152
5k2/1b6/p6p/bp1N1N2/8/2P1P2P/P5P1/6K1 w - - 2 33,182
5k2/1b6/p6p/bp1N1N2/4P3/2P4P/P5P1/6K1 b - - 0 33,173
5k2/8/p6p/bp1b1N2/4P3/2P4P/P5P1/6K1 w - - 0 34,182
5k2/8/p6p/bp1P1N2/8/2P4P/P5P1/6K1 b - - 0 34,200
5k2/8/p7/bp1P1N1p/8/2P4P/P5P1/6K1 w - - 0 35,212
5k2/8/p7/bp1P1N1p/8/2P4P/P4KP1/8 b - - 1 35,157
5k2/8/p7/1p1P1N1p/8/2b4P/P4KP1/8 w - - 0 36,173
5k2/8/p7/1p1P1N1p/8/2b1K2P/P5P1/8 b - - 1 36,218
8/5k2/p7/1p1P1N1p/8/2b1K2P/P5P1/8 w - - 2 37,224
8/5k2/p7/1p1P1N1p/8/2bK3P/P5P1/8 b - - 3 37,186
8/5k2/p7/1p1P1N1p/8/3K3P/Pb4P1/8 w - - 4 38,237
8/5k2/p7/1p1P1N1p/6P1/3K3P/Pb6/8 b - - 0 38,218
8/5k2/p7/1p1P1N2/6p1/3K3P/Pb6/8 w - - 0 39,260
8/5k2/p7/1p1P1N2/6P1/3K4/Pb6/8 b - - 0 39,253
8/8/p4k2/1p1P1N2/6P1/3K4/Pb6/8 w - - 1 40,258
8/8/p2P1k2/1p3N2/6P1/3K4/Pb6/8 b - - 0 40,302
8/8/p2Pk3/1p3N2/6P1/3K4/Pb6/8 w - - 1 41,311
8/8/p2Pk3/1p3NP1/8/3K4/Pb6/8 b - - 0 41,342
8/8/3Pk3/pp3NP1/8/3K4/Pb6/8 w - - 0 42,353
8/8/3Pk1P1/pp3N2/8/3K4/Pb6/8 b - - 0 42,360
8/8/3PkbP1/pp3N2/8/3K4/P7/8 w - - 1 43,372
8/6P1/3Pkb2/pp3N2/8/3K4/P7/8 b - - 0 43,393
8/5kP1/3P1b2/pp3N2/8/3K4/P7/8 w - - 1 44,393
8/3P1kP1/5b2/pp3N2/8/3K4/P7/8 b - - 0 44,408
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,33
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,32
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,31
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,28
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,32
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,27
r1bqkbnr/1ppp1ppp/p1B5/4p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 4,5
r1bqkbnr/1pp2ppp/p1p5/4p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5,13
r1bqkbnr/1pp2ppp/p1p5/4p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 1 5,5
r1bqkbnr/1pp3pp/p1p2p2/4p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,6
r1bqkbnr/1pp3pp/p1p2p2/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6,17
r1bqkbnr/1pp3pp/p1p2p2/8/3pP3/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 7,29
r1bqkbnr/1pp3pp/p1p2p2/8/3NP3/8/PPP2PPP/RNBQ1RK1 b kq - 0 7,23
r1bqkbnr/1pp3pp/p4p2/2p5/3NP3/8/PPP2PPP/RNBQ1RK1 w kq - 0 8,6
r1bqkbnr/1pp3pp/p4p2/2p5/4P3/1N6/PPP2PPP/RNBQ1RK1 b kq - 1 8,-5
r1b1kbnr/1pp3pp/p4p2/2p5/4P3/1N6/PPP2PPP/RNBq1RK1 w kq - 0 9,-9
r1b1kbnr/1pp3pp/p4p2/2p5/4P3/1N6/PPP2PPP/RNBR2K1 b kq - 0 9,-10
r3kbnr/1pp3pp/p4p2/2p5/4P1b1/1N6/PPP2PPP/RNBR2K1 w kq - 1 10,17
r3kbnr/1pp3pp/p4p2/2p5/4P1b1/1N3P2/PPP3PP/RNBR2K1 b kq - 0 10,15
r3kbnr/1pp3pp/p3bp2/2p5/4P3/1N3P2/PPP3PP/RNBR2K1 w kq - 1 11,49
r3kbnr/1pp3pp/p3bp2/2p5/4P3/1NN2P2/PPP3PP/R1BR2K1 b kq - 2 11,-34
r3k1nr/1pp3pp/p2bbp2/2p5/4P3/1NN2P2/PPP3PP/R1BR2K1 w kq - 3 12,-23
r3k1nr/1pp3pp/p2bbp2/2p5/4P3/1NN1BP2/PPP3PP/R2R2K1 b kq - 4 12,-6
r3k1nr/2p3pp/pp1bbp2/2p5/4P3/1NN1BP2/PPP3PP/R2R2K1 w kq - 0 13,-8
r3k1nr/2p3pp/pp1bbp2/2p5/P3P3/1NN1BP2/1PP3PP/R2R2K1 b kq - 0 13,-6
2kr2nr/2p3pp/pp1bbp2/2p5/P3P3/1NN1BP2/1PP3PP/R2R2K1 w - - 1 14,0
2kr2nr/2p3pp/pp1bbp2/P1p5/4P3/1NN1BP2/1PP3PP/R2R2K1 b - - 0 14,-1
3r2nr/1kp3pp/pp1bbp2/P1p5/4P3/1NN1BP2/1PP3PP/R2R2K1 w - - 1 15,36
3r2nr/1kp3pp/pp1bbp2/P1p1P3/8/1NN1BP2/1PP3PP/R2R2K1 b - - 0 15,29
3r2nr/1kp1b1pp/pp2bp2/P1p1P3/8/1NN1BP2/1PP3PP/R2R2K1 w - - 1 16,43
3R2nr/1kp1b1pp/pp2bp2/P1p1P3/8/1NN1BP2/1PP3PP/R5K1 b - - 0 16,32
3b2nr/1kp3pp/pp2bp2/P1p1P3/8/1NN1BP2/1PP3PP/R5K1 w - - 0 17,30
3b2nr/1kp3pp/pp2bp2/P1p1P3/4N3/1N2BP2/1PP3PP/R5K1 b - - 1 17,27
3b2nr/2p3pp/ppk1bp2/P1p1P3/4N3/1N2BP2/1PP3PP/R5K1 w - - 2 18,285
3b2nr/2p3pp/pPk1bp2/2p1P3/4N3/1N2BP2/1PP3PP/R5K1 b - - 0 18,266
3b2nr/6pp/ppk1bp2/2p1P3/4N3/1N2BP2/1PP3PP/R5K1 w - - 0 19,256
3b2nr/6pp/ppk1bp2/2N1P3/4N3/4BP2/1PP3PP/R5K1 b - - 0 19,264
2bb2nr/6pp/ppk2p2/2N1P3/4N3/4BP2/1PP3PP/R5K1 w - - 1 20,263
2bb2nr/6pp/Npk2p2/4P3/4N3/4BP2/1PP3PP/R5K1 b - - 0 20,300
2bb2nr/6pp/Npk5/4p3/4N3/4BP2/1PP3PP/R5K1 w - - 0 21,281
2bb2nr/6pp/1pk5/4p3/1N2N3/4BP2/1PP3PP/R5K1 b - - 1 21,285
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,29
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,22
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,24
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,35
r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,33
r1bqkbnr/pp1ppp1p/2n3p1/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,32
r1bqkbnr/pp1ppp1p/2B3p1/2p5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 4,29
r1bqkbnr/p2ppp1p/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5,30
r1bqkbnr/p2ppp1p/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 1 5,29
r1bqk1nr/p2pppbp/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 2 6,29
r1bqk1nr/p2pppbp/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 b kq - 3 6,23
r1bqk1nr/p2p1pbp/2p3p1/2p1p3/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7,47
r1bqk1nr/p2p1pbp/2p3p1/2p1p3/1P2P3/5N2/P1PP1PPP/RNBQR1K1 b kq - 0 7,27
r1bqk1nr/p2p1pbp/2p3p1/4p3/1p2P3/5N2/P1PP1PPP/RNBQR1K1 w kq - 0 8,28
r1bqk1nr/p2p1pbp/2p3p1/4p3/1p2P3/P4N2/2PP1PPP/RNBQR1K1 b kq - 0 8,31
r1bqk1nr/p2p1pbp/6p1/2p1p3/1p2P3/P4N2/2PP1PPP/RNBQR1K1 w kq - 0 9,25
r1bqk1nr/p2p1pbp/6p1/2p1p3/1P2P3/5N2/2PP1PPP/RNBQR1K1 b kq - 0 9,33
r1bqk1nr/p2p1pbp/6p1/4p3/1p2P3/5N2/2PP1PPP/RNBQR1K1 w kq - 0 10,29
r1bqk1nr/p2p1pbp/6p1/4p3/1p1PP3/5N2/2P2PPP/RNBQR1K1 b kq - 0 10,21
r1bqk1nr/p2p1pbp/6p1/8/1p1pP3/5N2/2P2PPP/RNBQR1K1 w kq - 0 11,29
r1bqk1nr/p2p1pbp/6p1/8/1p1pP3/5N2/1BP2PPP/RN1QR1K1 b kq - 1 11,25
r1bqk1nr/p4pbp/3p2p1/8/1p1pP3/5N2/1BP2PPP/RN1QR1K1 w kq - 0 12,43
r1bqk1nr/p4pbp/3p2p1/8/1p1NP3/8/1BP2PPP/RN1QR1K1 b kq - 0 12,66
r1b1k1nr/p2q1pbp/3p2p1/8/1p1NP3/8/1BP2PPP/RN1QR1K1 w kq - 1 13,159
r1b1k1nr/p2q1pbp/3p2p1/8/1p1NP3/8/1BPN1PPP/R2QR1K1 b kq - 2 13,159
r3k1nr/pb1q1pbp/3p2p1/8/1p1NP3/8/1BPN1PPP/R2QR1K1 w kq - 3 14,165
r3k1nr/pb1q1pbp/3p2p1/8/1pNNP3/8/1BP2PPP/R2QR1K1 b kq - 4 14,175
r3k2r/pb1q1pbp/3p2pn/8/1pNNP3/8/1BP2PPP/R2QR1K1 w kq - 5 15,157
r3k2r/pb1q1pbp/3p2pn/5N2/1pN1P3/8/1BP2PPP/R2QR1K1 b kq - 6 15,170
r3k2r/pb1q1p1p/3p2pn/5N2/1pN1P3/8/1bP2PPP/R2QR1K1 w kq - 0 16,147
r3k2r/pb1q1p1p/3N2pn/5N2/1p2P3/8/1bP2PPP/R2QR1K1 b kq - 0 16,138
r4k1r/pb1q1p1p/3N2pn/5N2/1p2P3/8/1bP2PPP/R2QR1K1 w - - 1 17,155
r4k1r/pb1q1p1p/3N2pN/8/1p2P3/8/1bP2PPP/R2QR1K1 b - - 0 17,173
r4k1r/pb1q3p/3N1ppN/8/1p2P3/8/1bP2PPP/R2QR1K1 w - - 0 18,159
r4k1r/pb1q1N1p/5ppN/8/1p2P3/8/1bP2PPP/R2QR1K1 b - - 1 18,61
r4k1r/pb3N1p/5ppN/8/1p2P3/8/1bP2PPP/R2qR1K1 w - - 0 19,143
r4k1r/pb3N1p/5ppN/8/1p2P3/8/1bP2PPP/3RR1K1 b - - 0 19,165
r6r/pb2kN1p/5ppN/8/1p2P3/8/1bP2PPP/3RR1K1 w - - 1 20,182
r6N/pb2k2p/5ppN/8/1p2P3/8/1bP2PPP/3RR1K1 b - - 0 20,191
7r/pb2k2p/5ppN/8/1p2P3/8/1bP2PPP/3RR1K1 w - - 0 21,219
7r/pb2k2p/5pp1/5N2/1p2P3/8/1bP2PPP/3RR1K1 b - - 1 21,228
7r/pb2k2p/5p2/5p2/1p2P3/8/1bP2PPP/3RR1K1 w - - 0 22,205
7r/pb2k2p/5p2/5P2/1p6/8/1bP2PPP/3RR1K1 b - - 0 22,224
7r/pb2k2p/5p2/4bP2/1p6/8/2P2PPP/3RR1K1 w - - 1 23,209
7r/pb2k2p/5p2/4bP2/1p3P2/8/2P3PP/3RR1K1 b - - 0 23,222
2r5/pb2k2p/5p2/4bP2/1p3P2/8/2P3PP/3RR1K1 w - - 1 24,201
2r5/pb2k2p/5p2/4PP2/1p6/8/2P3PP/3RR1K1 b - - 0 24,229
8/pb2k2p/5p2/4PP2/1p6/8/2r3PP/3RR1K1 w - - 0 25,224
8/pb2k2p/4Pp2/5P2/1p6/8/2r3PP/3RR1K1 b - - 0 25,228
8/p3k2p/2b1Pp2/5P2/1p6/8/2r3PP/3RR1K1 w - - 1 26,220
8/p3k2p/2b1Pp2/5P2/1p6/8/2r3PP/2R1R1K1 b - - 2 26,223
8/p3k2p/2b1Pp2/5P2/1p6/8/6PP/2r1R1K1 w - - 0 27,220
8/p3k2p/2b1Pp2/5P2/1p6/8/6PP/2R3K1 b - - 0 27,202
8/p6p/2bkPp2/5P2/1p6/8/6PP/2R3K1 w - - 1 28,202
8/p6p/2bkPp2/5P2/1p6/8/6PP/3R2K1 b - - 2 28,202
8/p6p/2b1Pp2/4kP2/1p6/8/6PP/3R2K1 w - - 3 29,220
8/p3P2p/2b2p2/4kP2/1p6/8/6PP/3R2K1 b - - 0 29,224
8/4P2p/2b2p2/p3kP2/1p6/8/6PP/3R2K1 w - - 0 30,221
8/4P2p/2b2p2/p3kP2/1p6/8/6PP/2R3K1 b - - 1 30,266
