fen,evaluation
2b5/2r2kb1/p7/1p1N1pp1/8/1P1N4/P2R1PP1/6K1 b - - 3 36,-71
2b5/5kb1/p1r5/1p1N1pp1/8/1P1N4/P2R1PP1/6K1 w - - 4 37,-59
2b5/5kb1/p1r5/1p3pp1/1N6/1P1N4/P2R1PP1/6K1 b - - 5 37,-83
2b5/2r2kb1/p7/1p3pp1/1N6/1P1N4/P2R1PP1/6K1 w - - 6 38,-70
2b5/2r2kb1/p7/1p1N1pp1/8/1P1N4/P2R1PP1/6K1 b - - 7 38,-73
2b5/5kb1/p1r5/1p1N1pp1/8/1P1N4/P2R1PP1/6K1 w - - 8 39,-71
2b5/5kb1/p1r5/1p3pp1/1N6/1P1N4/P2R1PP1/6K1 b - - 9 39,-70
2b5/2r2kb1/p7/1p3pp1/1N6/1P1N4/P2R1PP1/6K1 w - - 10 40,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,30
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,33
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,32
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,35
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,28
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,37
r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4,37
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5,38
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 3 5,33
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6,48
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq - 5 6,46
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7,49
r1bqk2r/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 b kq - 1 7,50
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w kq - 0 8,50
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 b kq - 0 8,43
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 w - - 1 9,40
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 b - - 0 9,41
rnbq1rk1/2p1bppp/p2p1n2/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 w - - 1 10,41
rnbq1rk1/2p1bppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 b - - 0 10,42
r1bq1rk1/2pnbppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 w - - 1 11,42
r1bq1rk1/2pnbppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP1N1PP1/R1BQR1K1 b - - 2 11,42
r2q1rk1/1bpnbppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP1N1PP1/R1BQR1K1 w - - 3 12,38
r2q1rk1/1bpnbppp/p2p1n2/1p2p3/3PP3/2P2N1P/PPBN1PP1/R1BQR1K1 b - - 4 12,39
r2qr1k1/1bpnbppp/p2p1n2/1p2p3/3PP3/2P2N1P/PPBN1PP1/R1BQR1K1 w - - 5 13,36
r2qr1k1/1bpnbppp/p2p1n2/1p2p3/3PP3/2P2N1P/PPB2PP1/R1BQRNK1 b - - 6 13,33
r2qrbk1/1bpn1ppp/p2p1n2/1p2p3/3PP3/2P2N1P/PPB2PP1/R1BQRNK1 w - - 7 14,33
r2qrbk1/1bpn1ppp/p2p1n2/1p2p3/3PP3/2P2NNP/PPB2PP1/R1BQR1K1 b - - 8 14,34
r2qrbk1/1bpn1p1p/p2p1np1/1p2p3/3PP3/2P2NNP/PPB2PP1/R1BQR1K1 w - - 0 15,50
r2qrbk1/1bpn1p1p/p2p1np1/1p2p1B1/3PP3/2P2NNP/PPB2PP1/R2QR1K1 b - - 1 15,47
r2qrbk1/1bpn1p2/p2p1npp/1p2p1B1/3PP3/2P2NNP/PPB2PP1/R2QR1K1 w - - 0 16,41
r2qrbk1/1bpn1p2/p2p1npp/1p2p3/3PP3/2P2NNP/PPBB1PP1/R2QR1K1 b - - 1 16,42
r2qrbk1/1bpn1p2/p2p1npp/1p6/3pP3/2P2NNP/PPBB1PP1/R2QR1K1 w - - 0 17,56
r2qrbk1/1bpn1p2/p2p1npp/1p6/3PP3/5NNP/PPBB1PP1/R2QR1K1 b - - 0 17,54
r2qrbk1/1b1n1p2/p2p1npp/1pp5/3PP3/5NNP/PPBB1PP1/R2QR1K1 w - - 0 18,54
r2qrbk1/1b1n1p2/p2p1npp/1ppP4/4P3/5NNP/PPBB1PP1/R2QR1K1 b - - 0 18,50
r2qrbk1/1b3p2/pn1p1npp/1ppP4/4P3/5NNP/PPBB1PP1/R2QR1K1 w - - 1 19,115
r2qrbk1/1b3p2/pn1p1npp/BppP4/4P3/5NNP/PPB2PP1/R2QR1K1 b - - 2 19,104
r2qrbk1/1b1n1p2/pn1p2pp/BppP4/4P3/5NNP/PPB2PP1/R2QR1K1 w - - 3 20,95
